index,change,genre,appGenre,publisher_id,is_ad,app_appId,app_appName,app_subtitle,app_icon,app_publisher,app_country,app_file_size,app_price,class_ranking
19,-2,总榜,总榜,297468910,False,1238778050,纪念碑谷2,让世界惊叹的唯美解谜手游！,https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/d3/ff/c3/d3ffc3c3-6aa8-d97b-005b-9170d1429238/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png,ustwo games,cn,608782336,24.00,32
20,2,总榜,总榜,1099088439,False,1099088440,火柴人联盟2,超帅的横版动作游戏,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/1a/70/0a/1a700a65-5f6d-8a91-ca62-a57482b5dc27/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/180x180bb.png,晓轩 王,cn,1869257728,1.00,34
21,-2,总榜,总榜,1396441141,False,1544190466,避难所：生存,模拟生存的末日冒险游戏,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/71/65/a9/7165a9f2-16a8-303e-d92f-bbc9ba7e1c42/AppIcon-1x_U007emarketing-0-10-0-85-220-0.png/180x180bb.png,East2west Network Tech. Co. Ltd.,cn,410316800,12.00,35
22,-1,总榜,总榜,928380301,False,6746777407,魔法工艺,买断制法术构筑动作Rogue手游,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/eb/fc/22/ebfc22db-3c85-4a9d-23e3-97f499fa42d0/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/180x180bb.png,"Shanghai Hode Information Technology Co.,Ltd.",cn,1162132480,25.00,37
24,2,总榜,总榜,671601536,False,1028950091,贪婪洞窟,暂无数据,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/d2/c2/fb/d2c2fb3a-6e26-04b4-35f3-69f8a54f938e/AppIcon-1x_U007emarketing-0-11-0-85-220-0.png/180x180bb.png,AvalonGames,cn,449318912,1.00,40
25,-1,总榜,总榜,1757778024,False,6740115177,破门而入：行动小队,组建战术小队，守护这座破败的城市！,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/14/1c/ed/141ced37-914c-fbc5-843b-4e62bb6e83d5/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/180x180bb.png,厦门快爆游网络科技有限公司,cn,145774592,9.00,41
26,-1,总榜,总榜,1722017722,False,6504854196,下一站江湖Ⅱ,你来了，便是江湖,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/4d/7a/0b/4d7a0b2d-0859-2b79-69bb-2152adb7b431/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/180x180bb.png,"Chengdu Yimoxuan Network Technology Co., Ltd",cn,1539203072,24.00,42
27,3,总榜,总榜,1576329232,False,1576329230,传奇1.76官方正版盛大首发(重置版)今日开服送点卡迷失传说,"拒绝山寨,只玩正版,唯一原版！",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/82/85/ac/8285aca2-af0f-8685-e78b-507fd5d8d9d6/xiaobai-0-0-1x_U007emarketing-0-7-0-85-220.png/180x180bb.png,"Guangzhou Fenglin Information Technology Co., Ltd.",cn,783041536,1.00,44
28,-1,总榜,总榜,1611017304,False,1551263854,打金传奇:官方正版 搬砖回收永不关服超爆加强版，传奇王者霸业,暂无数据,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/a7/ed/3d/a7ed3d30-1427-cb25-4b86-76168c445b7c/wushuang-0-0-1x_U007emarketing-0-7-0-85-220.png/180x180bb.png,"Guangzhou Chuangxiang Information Technology Co., Ltd.",cn,776461312,1.00,46
29,-1,总榜,总榜,1692284838,False,1531462734,桂林字牌手机版,最正宗的桂林本地字牌,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/a3/90/4c/a3904c25-3f97-9c0f-646b-6dc56ff9172c/AppIcon-1x_U007emarketing-0-11-0-85-220-0.png/180x180bb.png,广西拓米网络科技有限公司,cn,483481600,1.00,47
